bin_start_s,bin_end_s,trips_completed,coal_moved_kg,avg_speed_kmh,pct_moving,pct_loading,pct_unloading,pct_travelling,trucks_active,total_fuel_L,total_co2_kg,throughput_trips_per_hr
4860.0,4920.0,0,0.0,5.04,33.3,0.0,0.0,100.0,3,0.139,0.372437,0
4920.0,4980.0,0,0.0,4.41,33.3,0.0,0.0,100.0,3,0.1513,0.405505,0
4980.0,5040.0,1,1000.0,2.84,30.9,0.0,1.9,94.4,3,0.1535,0.411411,60.0
5040.0,5100.0,0,0.0,6.61,33.3,0.0,0.0,100.0,3,0.1336,0.357942,0
5100.0,5160.0,0,0.0,4.29,33.3,0.0,0.0,100.0,3,0.1319,0.353584,0
5160.0,5220.0,0,0.0,3.24,32.7,1.9,0.0,94.4,3,0.1339,0.35893,0
5220.0,5280.0,0,0.0,4.59,33.3,0.0,0.0,100.0,3,0.1335,0.357913,0
5280.0,5340.0,0,0.0,4.87,33.3,0.0,0.0,100.0,3,0.1447,0.387902,0
5340.0,5400.0,1,1000.0,2.59,31.4,0.0,2.0,94.1,3,0.1501,0.402151,60.0
5400.0,5460.0,0,0.0,5.99,33.3,0.0,0.0,100.0,3,0.1292,0.346252,0
5460.0,5520.0,0,0.0,4.66,33.3,0.0,0.0,100.0,3,0.1283,0.343856,0
5520.0,5580.0,0,0.0,3.23,32.7,1.9,0.0,94.4,3,0.1267,0.339691,0
5580.0,5640.0,0,0.0,4.18,33.3,0.0,0.0,100.0,3,0.1354,0.362924,0
5640.0,5700.0,0,0.0,5.62,33.3,0.0,0.0,100.0,3,0.1431,0.38352,0
5700.0,5760.0,1,1000.0,2.32,32.1,0.0,1.9,94.9,3,0.1411,0.378171,60.0
5760.0,5820.0,0,0.0,6.58,33.3,0.0,0.0,100.0,3,0.1424,0.381762,0
5820.0,5880.0,0,0.0,4.07,32.7,1.3,0.0,98.7,3,0.133,0.356357,0
5880.0,5940.0,0,0.0,3.5,32.1,0.6,0.0,96.2,3,0.1231,0.329985,0
5940.0,6000.0,0,0.0,5.81,33.3,0.0,0.0,100.0,3,0.1408,0.377386,0
6000.0,6060.0,1,1000.0,4.53,49.0,0.0,2.0,94.8,3,0.1572,0.421254,60.0
6060.0,6120.0,0,0.0,11.32,64.7,0.0,0.0,100.0,3,0.1719,0.460724,0
6120.0,6180.0,0,0.0,8.93,66.7,0.0,0.0,100.0,3,0.171,0.458382,0
6180.0,6240.0,0,0.0,6.08,64.0,4.0,0.0,89.3,3,0.1587,0.425235,0
6240.0,6300.0,0,0.0,9.0,66.7,0.0,0.0,100.0,3,0.1748,0.468334,0
6300.0,6360.0,0,0.0,8.32,66.7,0.0,0.0,100.0,3,0.1857,0.497605,0
6360.0,6420.0,1,1000.0,5.62,65.2,0.0,4.3,87.0,3,0.0801,0.214697,60.0
