truck_id,idle_start_s,idle_end_s,duration_s,op_state,x_m,y_m
1,65555.852,65557.852,2.0,LOADING,-166.55,402.97
1,65558.852,65560.852,2.0,RETURNING_TO_START,-163.85,404.47
3,65611.852,65613.852,2.0,UNLOADING,-167.14,454.92
3,65661.852,65663.852,2.0,LOADING,-170.93,395.7
1,65682.852,65685.852,3.0,RETURNING_TO_START,-101.47,450.88
2,65684.852,65686.852,2.0,UNLOADING,652.89,178.62
1,65707.852,65709.852,2.0,UNLOADING,-170.64,446.5
1,65891.852,65895.852,4.0,RETURNING_TO_START,-103.84,336.98
3,65886.852,65898.852,12.0,LOADING,-103.8,331.41
3,65940.852,65942.852,2.0,UNLOADING,-100.8,522.84
1,65944.852,65946.852,2.0,UNLOADING,-168.04,454.28
1,65992.852,65994.852,2.0,LOADING,-97.45,322.82
3,66007.852,66009.852,2.0,LOADING,-102.49,318.71
2,66040.852,66042.852,2.0,LOADING,703.22,-192.28
3,66057.852,66059.852,2.0,UNLOADING,-94.43,521.09
1,66112.852,66114.852,2.0,LOADING,-85.7,332.01
3,66125.852,66127.852,2.0,LOADING,-104.42,322.68
3,66173.852,66175.852,2.0,UNLOADING,-101.68,521.5
1,66224.852,66226.852,2.0,LOADING,-104.2,321.08
3,66238.852,66240.852,2.0,LOADING,-103.63,321.29
3,66405.852,66407.852,2.0,LOADING,123.5,156.35
1,66478.852,66482.852,4.0,RETURNING_TO_START,197.91,280.8
2,66520.852,66522.852,2.0,LOADING,702.99,-191.69
1,66485.852,66531.852,46.0,RETURNING_TO_START,200.2,280.46
2,66655.852,66657.852,2.0,UNLOADING,652.58,179.57
1,66532.852,66668.852,136.0,RETURNING_TO_START,200.36,280.49
1,66670.852,66725.852,55.0,RETURNING_TO_START,201.59,280.53
2,66764.852,66766.852,2.0,LOADING,702.65,-190.8
1,66728.852,66908.852,180.0,RETURNING_TO_START,203.69,281.26
1,66934.852,66936.852,2.0,UNLOADING,183.84,342.65
3,66974.852,66976.852,2.0,LOADING,83.68,155.34
2,67008.852,67010.852,2.0,LOADING,703.12,-191.93
3,67072.852,67074.852,2.0,UNLOADING,182.03,343.43
3,67169.852,67171.852,2.0,LOADING,83.52,157.8
2,67250.852,67252.852,2.0,LOADING,702.73,-191.06
1,67294.852,67296.852,2.0,UNLOADING,218.27,341.73
3,67455.852,67457.852,2.0,UNLOADING,179.66,342.82
3,67546.852,67548.852,2.0,LOADING,83.21,158.51
2,67821.852,67823.852,2.0,RETURNING_TO_START,-101.4,450.46
1,67859.852,67861.852,2.0,UNLOADING,-101.21,521.81
3,67894.852,67896.852,2.0,UNLOADING,652.61,179.19
1,67940.852,67950.852,10.0,RETURNING_TO_START,-101.34,450.63
2,67949.852,67951.852,2.0,UNLOADING,-96.59,522.75
3,68005.852,68007.852,2.0,LOADING,702.86,-191.23
2,68024.852,68029.852,5.0,RETURNING_TO_START,-101.38,450.45
2,68031.852,68035.852,4.0,RETURNING_TO_START,-101.33,451.05
3,68138.852,68140.852,2.0,UNLOADING,653.51,177.48
2,68156.852,68159.852,3.0,RETURNING_TO_START,-97.84,452.86
1,68158.852,68160.852,2.0,RETURNING_TO_START,-90.06,452.76
1,68181.852,68183.852,2.0,UNLOADING,-101.79,521.78
1,68227.852,68229.852,2.0,LOADING,-170.67,395.57
2,68162.852,68354.852,192.0,RETURNING_TO_START,-96.28,453.89
3,68383.852,68385.852,2.0,UNLOADING,653.2,174.71
2,68573.852,68575.852,2.0,LOADING,-103.72,332.22
1,68576.852,68581.852,5.0,RETURNING_TO_START,-104.24,334.79
2,68576.852,68585.852,9.0,RETURNING_TO_START,-103.68,332.59
3,68623.852,68625.852,2.0,UNLOADING,652.65,179.41
2,68749.852,68751.852,2.0,UNLOADING,-100.43,523.21
1,68864.852,68867.852,3.0,UNLOADING,-167.83,453.74
2,68966.852,68968.852,2.0,UNLOADING,-167.47,454.49
3,68978.852,68980.852,2.0,LOADING,702.97,-191.38
1,69070.852,69072.852,2.0,LOADING,83.44,157.55
1,69080.852,69082.852,2.0,RETURNING_TO_START,86.75,157.58
3,69358.852,69360.852,2.0,UNLOADING,652.84,173.91
1,69150.852,69576.852,426.0,RETURNING_TO_START,194.55,283.56
2,69152.852,69576.852,424.0,RETURNING_TO_START,192.32,283.78
3,69616.852,69618.852,2.0,LOADING,-170.47,395.46
2,69708.852,69710.852,2.0,LOADING,702.92,-191.49
1,69815.852,69817.852,2.0,UNLOADING,653.4,177.85
1,69927.852,69929.852,2.0,LOADING,703.27,-191.81
1,70061.852,70063.852,2.0,UNLOADING,652.67,178.91
1,70171.852,70173.852,2.0,LOADING,702.8,-190.91
2,70334.852,70336.852,2.0,LOADING,697.22,-198.19
1,70799.852,70801.852,2.0,UNLOADING,653.05,178.73
1,70910.852,70912.852,2.0,LOADING,702.64,-190.78
2,70947.852,70949.852,2.0,UNLOADING,652.64,179.25
1,71214.852,71216.852,2.0,UNLOADING,652.85,178.82
